," =COUNTIF(A:A,A1)>1"
4acbdd75-4319-f368-b3961affd805,ARR | 2204080030000725 | API to attach notebook to cluster
24d67c1b-268d-fed4-98c1b1f99b94,Why AutoML takes only sample dataset?
d4e704e8-d1a0-93c2-ab17ef448ec4,We are observing a lot of delay and intermittent failures when trying to start a Spark Cluster in our Databricks
c08606a8-2480-f4b0-2a67d92b03f5,Schema Browser not Wworking
986b6f57-3079-c059-6f403a50d0f0,Cosmos to BLOB streaming job is not working properly in spark3 whereas it is working fine in spark2 codebase
5beb1290-465a-71d0-0e2726fdae92,Databricks cluster is not starting. and failed
757e7205-d761-9c2c-c7cd0a4708c6,2.20E+15
8e5e6464-41d2-0b49-29d33550a30b,"2204070040000763| Job aborted due to stage failure,Could not verify copy source"
c9a32e5c-f5a2-618b-20566bb8f8c9,Getting Dataset refresh issue in Power BI dashboard
843a51c5-1a34-6932-c22056461bc1,Upgrade account to E2
17260daf-90bc-9e96-2fc48403b7ee,BugReport: Read SQL Endpoint from Spark JDBC
bb9e98d4-3b25-f1fe-3f655ea33ec7,genie
bd9f3c36-6f33-8d2b-e278ab26976c,[ARR] [Sev B] SR-2204100040000077 RCA:Unable to acquire lock to files from ADLS on Databricks
d418ef28-d09d-78f1-3f22753ab124,DirectQuery query folding to Databricks producing invalid SQL
2ae09fa0-c862-517d-9caff4697450,2.20E+15
93d9a633-9e92-a946-ba3f10b2155e,R - generated HTML not rendering in Databricks notebooks
601aa083-58df-dca5-f64a28027fce,ARR- 2204010040007120- Inconsistent Results in Query
9a3e5fd0-ac77-377f-3c53efb76250,[ARR] [Sev B] SR-2204070010002917   continue to 00141203 how to execute the mounted file for job cluster
2c0953e2-7ab1-6529-381ab3ea6f60,genie
8f03952c-a873-6953-14f2485230ab,Issues in viewing the MLFLOW Experiments from Databricks MLFlow UI
3155a1a0-f9d7-7034-371d16e70653,genie
da9eb93f-d1d7-1864-0aab33c5f31b,genie
ef36245f-1fff-fe75-8daa66c780b7,Databricks failed to download dependency jar from maven central
e421df39-52c2-beeb-5ca76581cf53,2.20E+15
9e812ddc-0b59-c534-c105932d57e1,Gennie Access
4aa9d967-730b-98e0-64f39b71c1ef,Genie Access - SR 2204070010002917
f9fe0d82-374e-f564-1186dd0c5cf1,Need oncall engineer to pin Intuit PRD workspace back to custom image
693c98ce-9a88-3773-1063254f08ec,genie 2204110030002332
54345430-298c-78b8-7a41f0e72cbd,Earnin Databricks console is down 
b2e205cf-4607-cd88-100124a6eb9c,genie
b7dee7e9-6f95-c0c3-372f4388d897,Access Workspace to check version differences in notebook
70586501-9ad4-66af-160a6e9b5284,1588genie
d59718ff-238d-734c-906eba8b0430,Earnin's production Databricks console was not accessible for about 20 mins on 4/08
b54c1f59-42a9-a94f-4e49821067e9,debugfs on worker nodes not owned by root
b4dfc7fc-6ec9-93dd-e35fea1ec94b,Genie Access Request
af155f70-67ff-de08-20574d836a94,Genie: Shell storage token
29218e9e-b53f-0b1a-3c1a3d5e12f6,Databricks User within IAM Passthrough cluster unable to execute Query - Issue already reported.
3fa24457-41d6-9c79-b55bba5ba7ea,Cannot enable audit logs for account
121d1ea1-bdec-c559-66603ed8e4c7,Parquet files deleted
1bb0ea1a-aa26-12d4-84fb94786378,Genie : 2204110040008513-   Unkown Cluster error causing cluster shutdown (NODE_LOST)
e636f244-0ce6-af28-823b21aa402e,Job stuck on simple read from mounted data lake
8e76ff90-aaf9-b625-46a9045b69ac,Issues connecting Databricks to DevOps Repo
33a63f79-e6b6-46e9-84ae9e3738c4,SQL access
f05869e6-d326-cf70-7467e7104574,Unable to Vectorize Pyspark operation using Pandaf_UDF. Facing Performance Issues
18a39fb1-3aab-cab7-495f44ec7bea,Okta Databricks Configuration
8d57e671-a956-349b-618973e0e970, issues with library and all the jobs are failling in databricks
86964469-d31f-9681-14bb2f46984f,Genie:ARR:SevB - Recover missing notebooks lost in the switch in Repos:SR-2204110030002151
c6caff9e-64e8-3b77-8956af6a1256,spark error
ab4a2bb3-202b-e8ee-49f3c1f74955,Follow up: Databricks PVC control plane log4j v1 vuln
ecf801bd-752f-eb69-f893c02e1041,ARR UBS - Unable to deploy the workspace with CMK for Notebook using the ARM template provided by Databrick
49d119ea-f7ff-ba28-b709ab1d5f2d,Genie access request
b786a268-78da-8a5d-22da43ed96f4,genie-Problem in all process in DataBricks
02b69d3c-a993-3eaf-b5506bfca375,2202110040007666 | PowerBI
34be11f4-8507-8684-93ad46e8cacb, issues with library and all the jobs are failling in databricks-
2d1f10e5-19aa-49af-9d48488edad4,any command line or api to replace jar file name in the job?
ab4ae633-428f-09b1-93d8497732ab,Genie:ARR:SevA - can't read xml file:SR2204110040005543 
1ab30c6e-73ba-d623-0fabffe5413a,2202110040007666 | PowerBI connector
afb9c9b6-89f5-6b42-8189bf129b7e,strange UI in job list
24e6288f-a8f3-809c-e76987ec4072,2.20E+15
c631c890-2af6-9557-c7a819d4634e,Genie: Adobe | 2204110040006238 | Cannot Find fairscheduler File In DBR10.4
4a11c1c4-2093-fad1-b12f45a028b1,ARR:SevA: Can't read xml from storage container:SR2204110040005543
a19c772d-7ec0-5f42-f3d388978136,Setting job description in spark UI not working
401e9820-5a15-01f1-bc8f284f1c44,Cluster Creation Failing 
c353633e-adb8-e5fc-1b7aa4a15970,issue parsing json schema
c5eb18fe-1dde-bfe4-714b439bbe08,Increase secret scope in internal account
f52a39c7-111d-8ce5-2752ddd0fdef,Retry Limit Error
44e845be-d63f-e576-4f07499c943b,xgboost==0.6a1 installation failing in in DBR 7.3 LTS ML
ef3ae9d3-a14c-c498-99c01b18429b,Table or View not found on Warehouse SQL Endpoint
04f3a8fc-72a7-a38d-8c4f661593f6,ARR: Jobs are failing intermittently:SR 2204070040000867 
61868bd6-7dbf-6229-5c16ba59175b,Slow to write pyspark DF to snowflake
f692924a-f444-5d7a-5e870e76b84c,unusable since the driver is unhealthy
4423e2d3-53d8-4d49-7d68bf1d781e,Databricks Token Expiry
326ff3e8-abcb-236b-677993421c6b,Python file not uploading in the repository section
70d64674-dbbe-cbc3-3ca23e254784,job failure notification
2e62125a-675c-704b-28d41363779b,cannot login to accounts.cloud.databricks.com
6ff52b6f-6d15-5973-bce02f8682d8,Genie 2203300040007683
1710ecdd-185c-1746-0ca368a4df08,Genie:ARR:Jobs are failing:SR2204070040000867 | Cummins | B 
299ea8a8-cd9c-0950-20ca0b418e6b,Significant performance degradation when upgrating from 9.1 ML LTS to 10.4 ML LTS. 'Process Test Performance
fe68b2cf-8f0f-c60f-28314a7eaba2,Job failuer
4f0e0dca-11fb-8768-a52ce3ecf6c4,2204110040000576 | AutoML
a296aa1c-8949-9e8e-1056af202f4b,Change Data Feed unexpected behaviour
5aeb9f7c-28fb-1ac6-13b5f0081ce5,Pipelines failing post DLT GA
fcbb783f-75fe-1ec8-a2edd9909b3a,"While writing data from databricks into ADLS files , storage ACL permission (Mask bit) is not inheriting properly "
c6532ee3-b5d5-47f4-552c7423674d,Query on cluster access
1268cf70-cff3-d4c8-5449077681fc,TEst
60541ecd-ab61-a35a-6cc2a9552cdf,Job fails
d70ea722-6b0d-aba3-657fdf2c87b1,Cosmos to BLOB streaming job is not working properly in spark3 whereas it is working fine in spark2 codebase
0cf75493-f853-5430-713b6e3085cb, autoloader failing with error Input marker does not start with input path
4c009713-6982-865a-778d3672c040,2203210050001428 || Genie Access Request
c468b5e4-bb04-4e78-fa0fe34f45e0,Databricks jobs are failing to trigger the automation account Runbooks
1edd0e2e-b4bf-5fb4-51bec085bf1b,2203180050000737-genie acess
e44e083d-d6b1-90f8-deb6624e2653,Databricks Runtime 10.4LTS Weird Behavior
ddc302a2-777a-945f-5429ded5ca95,Accessing AWS Athena from databricks
561c0ff1-717a-6c44-16107b187d14,2204110050001007 - genie
9b5182a1-32a5-e0f1-b05e62f38a1f,https://sportsbet.cloud.databricks.com/ workspace not available
21b7f202-23d0-89c9-1085505cf105,ARR | impact on vacuum
e1166c06-fbee-a9d3-6472fb9447d8,Getting Error while creating table
61fc1c20-b93f-f973-c1bb6b940a82,"""InvocationTargetException"" error while running show databases query"
12ab4e60-c651-646e-38f9cf3fe6c0,ARR | 2204080050001186 | Databricks cluster failure with message cause null
c9e34467-83ca-91ce-10237e10c15d,Unable to create table. The associated location is not empty but it's not a Delta table 
0b88c8df-b5ea-c90a-aa327edb567e,ARR - Databricks interal storageAccount and redundancy level-
c2c2ce8a-06f4-13bd-2af2321abc98,genie for #2204110030001092
8723f8ab-f203-4dda-bfd0c2646562,genie
6cc46ed3-8ad6-4808-6bc37d4f1ba6,ARR | 2204110040002270 | Request access to Databricks Secrets using dbutils
6ad0f0cc-4c2e-63a1-90453f5ec8b6,genie
1c937020-00c4-1b31-525911992041,2203300030002167 genie
0e23373f-0e6f-53cc-dfc2533f576a,Rstudio 1.4 initialization failure
e477aec3-6631-a909-3b92a4efbabc,Follow up case on SF #00139547. Need a call back to discuss | ARR SR# 2202150030002462
43ca5786-416f-5aad-358a54349c73,Databricks jobs are failing to trigger the automation account Runbooks
bf864a49-d577-e132-a56631508f86,genie
a2394469-810b-0cb7-1932869c3db5,Production Job Stuck in running status indefinitely
393a214e-3aed-7f23-c1c371640aec,Installing python packages through pip fails on HC clusters with credential passthrough
2908b943-66a1-5861-4cf1696ef6b1,genie
c5ef16b8-6735-2d91-bbef1f7c8b64,can not load the Cluster in workspace
d9d82cdd-caf2-d699-dedb4426d0b9,Databricks File System (DBFS)
12dddf61-e771-b328-4111039a2b72,Snowflake SSO python connector
04f5d70d-30b7-14e0-1e5bfbf030a2,Platform Issue - Xpopd Field Weekly Processing
0d660087-8da2-b139-df968249f2bf,Genie Access
98827f77-7668-bc31-be4a58af955a,genie
bff12127-6238-4d20-997448eab0bf,2204110030000720  genie
e163f51a-5b18-1519-9535146c4b99,Not able to start any cluster (Intermittent Issue)
cd931c76-63c5-cf03-9ba25c24abc7,Few users unable to SSO to our new workspace 
2ccfd3ab-ca48-354b-e1a69ac1dfbe,"[ARR] [Sev X] SR-2204050030002523 related to #00139893 consideration of ""Parallel access to the create path detected"" err"
e925b6c1-e183-1aa2-9b8584653b72,Issue with sending SQL query to remote via Query API
d64b2284-cae7-3a05-ce9c73a3bddd,2204080010002780 | ARR | Seeing metastore and DBFS down on eventlogs  frequently
b813dc5d-20f4-c753-fc28def97f02,genie
148ab83e-4b3a-c830-237f4771d6f2,Databricks jobs are failing to trigger the automation account Runbooks
d9ef3830-656a-7907-7486c767111d,2204110030000456 genie
2ce969bd-32ab-a988-886e5edfff3d,ARR | 2204080030001938 | Workspace creation is failing | Standard Chartered Bank
aa5210cc-2c8d-d3ea-725498e7e2d6,[ARR] [Sev B] SR-2204080030001854 - ExecutorLostFailure (executor 15 exited caused by one of the running tasks) Reason: Executor heartbeat timed out after 157195 ms
14464e91-3db2-c8ed-97ca859e1670,CSS-ARR-2203280040003823-need to know hive manage tables creation details in azure databricks
af770700-9c2b-b191-36dedba8f2d0,SQL End point vs Cluster Performance for RShiny
1052bb5b-5e5b-f675-992b6d2f5231,2.20E+15
77684c2d-a60e-6175-029ea9050576,2204050050002744 Spark job stuck in pending
694e6147-fc91-e552-34c263c07a3e,genie
f477083a-1096-7fc1-f20dcf02c50c,[ARR][Jobs are running for long]
c6f1980c-6706-ea33-0502464e47e0,genie
022f0a3d-cc81-b749-a4ba59b71e73,genie
c92d289c-5acc-07ba-a373bc036f51,Genie Access - SR 2204100040000077
c17fbc98-d784-3e33-d306b2a75e21,[ARR] [Sev A] SR-2204100050000057 continue to #00141395 Errors execution Databricks jobs due to AZURE_RESOURCE_PROVIDER_THROTTLING
d17ffbdf-de39-72be-d798bf9a3e91,genie 2204080030001854
1cf75309-21e4-db00-75bbf31ee30c,Genie Access - SR 2204100050000057
c49c27bb-d94a-b021-1b6d193c36f6,genie
b0027d11-2b80-2edc-de87e86e2c22,Slow execution of Databricks notebook
10d99819-70cb-1359-98b2fe51ab68,Customer is facing throtling issue and production jobs got halted
ae7a78c2-1be4-4f36-02d7ef2f4ad7,Follow-up for 00138795
12c54488-03ba-0797-7cdfeedc32c0,Genie access
d2810f6e-11e5-3580-0919fecd8e34,Assistance in tracking a spike in VPC network cost
f6601564-1d8f-3c56-dca6cb8f50a2,Correct Course to Learn Databricks
9a18067a-5ba2-3f09-37ec58965a3a,Unable to use installed wheel cluster library
42725629-16bf-c8e0-08b765f2eeb1,ARR - Adobe - 2204080010004175 - Increase jobs REST API data retention limits
b4051847-64f4-9e51-af4bccee410c,gar 1734210911128650
2532a3ea-1eb2-afd2-a0228f7d6210,gar for 2204080030002269 
fb0f6765-4a6c-f0d4-b16de7ba8939,2203250030001527 genie
30e5a3a0-8c49-047e-63702e64e3a9, Databricks environment highly unstable
eb082017-525c-d83b-336f225ad6cf,What if I can't find a ML runtime with desired tensorflow version when setup cluster?
268990bb-bbbd-7812-07358ecec103,SQL Endpoing Unity Catalog Error
ec160e08-ff94-2f80-191034afcdd9,grpc-netty-shaded conflict
5170ddf8-6b5c-4998-6773a4a026d4,Rearranging columns in Delta table
7bdf2342-ab09-d7fe-ddce1a37b21a,Photon Failing To Write Out Table After Several Retries
da25fef0-5468-3ac5-caa0d9d15ba4,Issue creating Notebooks and workspace
8c5e7ad7-18ac-0419-c1b93174b41c,Create a VPC endpoint on the Databricks AWS account to enable GHE connectivity
43d22c38-7e99-95ce-7ee54b3c49e5,Databricks
9b82c867-c637-a894-e6022a94e4a7,Login issue
b4a5c47e-c9a8-bc98-dcd0cad6b057, Storage access inconsistent
11e63677-64fc-4bc2-13c8383ebd6a,Installing R and PYthon packages on a non-docker cluster
ce224367-c253-3b52-645a8b875581,Health check was not dispatched to the driver within 900 seconds
d5e79a26-a904-4a13-70a6839fc174,ARR - Walmart - 2204080030002206 - RCA - Job failure on Azure Databricks workspace
1627da24-7211-9cc8-0ef177126c49,ARR - Walmart - 2204080030002206 - RCA - Job failure
dc1cac81-0544-bd23-248f4ce34aa4,"Hi there, when we try to run packrat::init('/databricks') in the databricks notebook, it gives us an error"
22933dfe-3c2d-5950-af1801208098,2204080030002440Genie || Cluster upsize completed but 6 containers could not be added.Reason:Cloud provider launch failure
c6c8b21d-cec4-5234-0458dbce80d8,ARR | Unable to access Sample Datasets on Databricks Control Plane from DTV Databricks workspace
60975095-50b2-6333-987e6b0f1ea8,DatabricksThrottledException Thrown in One Environment but not Another
38373dd9-a92c-f55e-748c66f4272a,Unable to read data from Synapse into Databricks
c647ca03-8404-85d3-b9f97297c205,Delta write failures to S3
aafdcac4-bdc9-9898-5bafc8c991c4,Issue with rendering tfx metrics in databricks notebook
1887cc36-659f-cffe-d231f2784d00,Genie:AA || 2204060010002628 || March 13th Airflow trigger failure
91710221-dcdb-2336-3f2637ada93f,2024735194922644 - 91c73acf-ab63-413f-ac57-807d086da79e - 2204080030002206
63fcae95-02ef-9fea-bfe0022fd5cd,AutoML experiment giving unknown error
94f640e7-a01f-51f3-62fe4ea98278,Streaming job failing in databricks
90374a03-0bf4-4739-c05323d140f6,issue pushing logs to splunk from databricks
3c11dafe-dd2f-72ff-18be14564969,Issues Running explainerdashboard
9cdcbae0-c0d7-c872-f7e8635c3945,2203180050000737-genie acess
09c65e28-8bd4-fe0e-f051afc8acd9,Getting refuse to connect when launching tensorboard 
67ef9799-3b25-c692-2fc1913f6b16,nvirginia.cloud.databricks.com:443 failed to respond
2072a009-e7d0-d573-f2e1401f44c4,Databricks SQL - Dashboard update error presentation
285b8967-4146-21ab-9907c6a972d2,Cloud provider failures during cluster creation East US2
b4f2085f-7690-793b-485f292920da,2203180050000737-genie acess
dc8b4011-b7d6-e70b-24d09033c0d8,2203180050000737-genie acess
7c8a0977-8430-3641-b67a9bbc44ec,genie
22c40a62-27d6-65dc-801753b45ac0,ARR |  NielsenIQ Coke Mastertrack - Cluster failure
c18af1a3-4caa-5491-47d14776c6dd,Facing issue while trying to connect bigquery using jdbc from databricks notebook
221dafdd-a76b-75df-83f5901be264,User stuck in password reset loop
d5b24d56-6bb1-ed06-6c875abe51e3,Genie Access Request
82b7a74f-c8ff-ca28-e6743cfbea62,Genie Access Request
a5cf5d98-8a86-4ef3-5cfbfc3851e2,cannot create user: User already exists in another account
7e197984-062b-cc8c-bb44672f8915,ARR Customer JNJ: Ganglia UI is not working & Metrics are not accessible.
6998147b-77db-9c46-c6ea6ebc16ae,Genie Access | Job running for long
3e3c0b14-6e2d-9bca-755e0cd68448,Change in data bricks worker type and driver type
ecd2277d-c9e9-44af-06e25c1a9884,SQL option not avaiable
4e55b958-bc4a-03bc-6b7d8a18f53e,Retrieve data from databricks S3 bucker
7b683711-2523-1106-6e86ce459f5b,Error starting the 'RStudio' cluster. Message is 'rstudio-install.sh failed: Script exit status is non-zero'
40871218-77ad-6752-aba2b5eb3317, Please help me to get the Ganglia UI report images to dig into the detailed cluster report
c07b36b4-7af4-9d2f-28677dfb5105,genie
2844e8a0-5aca-cad6-1f91a02b0275,CSS-ARR-S500-SR#2204080060001080-Needs to recover deleted folder in databricks workspace
1a4c2760-3d1e-985d-b1b896f93bcf,2.20E+15
7debbdab-ae56-3d55-c0c5435b2041,Running a Python script in Databricks that currently is in local computer
9fd8c8e5-b0b3-79c1-b2b3fb92d734,Error starting the 'RStudio' cluster. 
a49ec896-1b49-02b7-4c973f9f4b6c,Optmize not working for some jobs since switch to DBR 10.4 LTS
ccdfa5e4-6270-0e7e-10fc42989c81,CSS-ARR-S500-SR#2202110030000677-Genie Access Request
461d4834-da75-412d-6d74ceb69ead,AllocationFailed Error | 2204080010002210 | GEP
5e18c300-3c7d-7b87-aca0d8ffcaee,2204080010002780_Need Genie Access
75b7dfaf-829c-9205-23258858e12c,2204060050002507 | ARR | java.lang.NoSuchMethodError: org.apache.spark.sql.catalyst.encoders.package$.encoderFor
5fabcffb-5e39-a964-a9511948b4e7,genie
0ac064f2-9746-acc7-02b0aaec98ab,Genie
605483e8-f119-c6fc-b22e2d6c0b1b,genie access
06e4472e-245f-7d76-c350069b112c,genie
0e8a0216-89a5-fd5d-ac4d075eb232,genie 
7a27ba39-fc53-6ee6-515b3dfe07c3,Process failed in production
398605a0-24b6-0296-8b4194c47c7e,[ARR] Jobs intermittently failure to write to SQL and Log analytics
f4f1bca9-5fe5-6602-0864327a6c88,Clarification required on new r5a instance types
11215f7f-229f-0f3f-0e4dbe70f270,Genie Access | ARR SR# 2203280040004004
d56c197f-665e-3005-77d6e8e0b10d,Follow up 00132204
d9b29d15-6c25-f686-8dd40064d314,2204080050001186 || Genie Access Request
297f6ad3-ee6c-6c5b-be6b4db6b424,2204080030000101-genie acess
5469744c-fe1f-cfc6-e3ba1f9b54a0,gar for 2204080050000172 
89dcb9bd-1766-50a6-21346720b452,Follow Up  SF 00141036
4630ec38-76f2-7b4e-eea68f5d104b,2204080030000802 || Genie Access Request
bd96afa5-1d70-4393-5bd1f0bcd0a9,New Genie 2203300030002645 WS 5259743963611861 SubId 33083e0c-20e5-40c8-a77d-557528d9e387
995e994d-c630-3f3a-7ec089ff9678,Clusters 'Running command' but not doing anything
8c58e738-9130-4e8c-af0cd23ffb23,Job failing with library error | 2204070030001149 |  Cummins
0ae996c2-b131-7ce9-5ce789f7e35f,ARR | AIA | Databricks ssl cert expire date | SR: 2204070060000837 
1435f0ae-3bd3-bfeb-0327c1cb94b2,genie
635df96f-f930-1245-73b17ffde634,please help to check backend log for event hub stress test
35b06bc5-20ed-fce1-8c83d54ac2b7,Not able to start cluster server
8fc37895-5c2d-4bc6-17de4cf41bf5,ADB Clusters not getting on
8fb6e122-be6f-11f3-4f5baa3ab5fa,2.20E+15
9e6ab80a-da52-cf10-1609171a708f,Databricks run page url is not opening in browser
e554375a-cbf0-be5f-0ef83d80fed6,SSO parameters
4f2869ae-0734-9d47-cd42d2f96515,[ARR] SR-2203310010000891 DsPredictionV3 messages are lost while publishing to TOPIC
f658e849-1680-6baf-3b6cc0b076f6,databricks plan using explain
89650581-a734-6d94-5d0e418577e3,Genie Certificate
87b5b346-3921-d6b2-5036bd3230e6,Genie Access | ARR SR# 2204080010000649
5cb90521-d1a4-b6f1-5ed34a07bba7,Genie Access Request
ae6fd185-825d-51e5-f65305b2901c,CSS ARR: Follow Up 00139476: VM name and ID request for 00139476:SR 2203240040003987
2c1384b4-c1c4-3fb9-fb0b35512c35,Queries regarding Hosted Metastore
693e1f20-8f73-8696-de8bbb1effe7,genie-Databricks having trouble connection to blob
490567d4-15c5-bfc7-2705808df68c,2.20E+15
1276e1e6-8f18-fc7b-17e5b1fd73dc,2.20E+15
c5ac16b1-4cb8-fb06-9ffef9491d41,genie
893ab6c3-95a4-97ae-0a10dbe82ea7,Updating cluster to select AZ automatically.
34d5fa6d-983a-83f2-377732d5c29c,genie
965b747f-b034-e103-0c4199879606, Error while reading file dbfs:/mnt/itgp/eng/l6b_array_alr_rpf/_delta_log/00000000000000008570.checkpoint.parquet
25548db7-936e-3dda-0ad26707fa71,Spark job failure
d1cfccf9-3588-9a28-bd520a73417c,Databricks job stuck for 3.9 hrs
08ad20c3-ff5c-acce-5a3102f7f8b9,Follow Up SF 00139211
839e284d-e769-d8aa-8aab51f4492e,Follow up of- 00131007
80677445-1ec6-c9e4-ff9c618e548e,Genie-2204080030000176
1d11d4c7-4435-8d56-fc205aaee0f9,Issue on Spark scheduler pools for streaming job
6bebce15-b160-083f-3ffccf94ff45,New endpoints pending acceptance from databricks
c2c034cd-61cd-db35-b4f5e160708f,Spark job failure
c951411a-5e45-6c16-9a2d417b02fe,ARR | 2204070010002917 | Does NotebookTask in Job API support ADLS paths?
4c7b0af8-54b8-2ceb-ab5bd8f8b5d7,job cluster hanging in running states.
15bded67-296d-6065-0648b3547000,What is the expected accuracy and precision of time services within NTP service
3fcc6653-295f-3faf-8339631f3885,Genie-2204080030000101
b32d8d5b-3192-a538-7968ee1a87ea,2.20E+18
415e2828-3f5a-ef62-413afd9c7af4,"No ""Use your own Docker container"" option"
dec51f82-7bfa-1063-a65e8d6d2e05,Autoloader failed to load parquet files when wildcard is used
abe28cb7-58d2-de36-b44f302c32f5,Genie fair scheduling pool 2
a0dae04d-71a5-0702-677f6344e412,Genie
5bdbd47e-d059-685c-c6af533836af,"[ARR] [Sev B] SR-2204070010003095-How to install init script ,  python libraries and MQ Client"
e13bd0d7-d982-847a-accb3814f84e,Unity Catalog
537939f3-d815-e33a-51be91898f01,Cluster not launching
4af2c022-6efe-a835-5935ed090aa4,Apparent bug in to_timestamp function
e66af4e3-7bb4-9a04-71d1bf907e6d,new failure in automated databricks pipeline
dac85126-faf5-27dd-172501cf10ba,0908genie
250c8a21-d7ea-fd72-47bc83cb1ffb,ARR | notebook failure |  2204040050001708 
6af62068-72f6-cd22-89e36a3959c9,Errno 14 from dbfs
a38b65fa-2993-b464-e398f8e5fb5f,Genie Access Request
f83c6695-22cc-f9a5-9a8b6df8d9bd,Problems when Access ADLSGen2 using a SAS token provider
a083fab3-6d78-b491-ecb10fd06b36,delta table can't be modified
b8b6c71f-661e-e75e-10281b9fac00,Secure S3 Access via Instance Profiles Disabled ECR Access for Container Services
ed14e918-0d94-7680-9ae3dcb53a22,Genie access request
0fbe75d5-1b03-35b6-96e063c65e90,2204070040008431Genie || Clusters are taking longer time to start
fe85be5d-f3c1-2d11-d0824c08ef65,ARR| RCA for intermittent errors in production environment - 2203210010002555
ba81f3d9-5528-19b0-8bbfca8dc35a,2204070040008171 | Init script
88fe98b5-9605-8a5c-d0520cac1e71,Cannot make user account
8f5dc6f9-7bd1-850f-6df1be689f58,Spark Driver does not come up due to SLF4J ClassNotFound Exception
011c02b7-9ca4-9b92-f3737fe40272,Need Public ips to our Business Intelligence cluster
ec096a1f-16f5-0896-c3a24f1748f1,exception thrown initializating filesystem
4b821f16-73a5-bfd4-5cdb71f39240,ARR | Genie | intermittent Databricks Errors in the Pipeline - 2203210010002555
fb72dadf-f108-1d6e-86553bff1fa4,Overwatch job not generating tables from PVC audit logs
215225e9-70cc-c0d3-926dffd50060,2.20E+15
3ba1baf0-29e9-68d5-b1e293f1b988,Autoloader BackfillInterval causes stream to pause for long duration.
3c2e0d49-3d2e-4675-81944119a715,Force cluster to use static ip on AWS
efc90a93-a217-27aa-de2acbb6feb0,Job cannot modify Delta Table
67d9126f-dc31-fd81-399184292af5,Delta table not able to be modified
1710d745-69df-af66-e407c99271ee,Unable to Create Cluster with GPU EC2 Instances
f371ae26-742f-ad49-127a4b488cd5,Genie access request
f7dc0bb7-47e8-e010-9ab6b6bc8f7c,Max request rate for EC2 causing job failure
8d146528-a887-9ecb-18169fb66b7b,Databricks API (Query History command) not receiving filter properly - Saved
ad254abe-d947-1fd5-afe78ec2b9ba,Guidance on how to get access logs for when new user is added or removed from DBx.
3c355937-ec2b-edea-49c0eed21320,Merge Legacy E2 Account  into Current E2 Account
604c8c61-85b0-cfba-ed2de03a919b,2 instances coming up per SQL endpoint
e1fe1e6d-3698-2b39-8fa42764263c,Problem to create Service Principals
100dd8c2-3bd4-a6b0-cac2906981d4,unable to cancel job run
65598d07-e686-c459-8dd7f5755772,2204060040007960Genie || Issue with the Job
664a680e-3f9d-29cd-df946d1aa0ac,Production Jobs failing after moving to 10.4 Runtime
c437dc4e-355b-9417-b5e0a9e571f5,ARR:SevA: Intermittently failed connectivity between ADF pipeline and Databricks:SR2204070030001901 
6a1ba7cc-1992-3ebd-57f2ca96ecaf,Increase the scope for EDL
e1d81022-1712-88ae-71d5356d8c98,Genie Access Request
79788776-2eeb-6236-7d27544890f7,SSO with Account level
57ab91da-4dea-2d03-5ce5b6a2fa77,Unusual Exit Status
becb8447-b1c4-d9f7-40c451fdc23a,Issue with external table having integrity check fails when copied between prod to dev s3 buckets.
24e64b75-e9ec-3dd2-e4cfb691a05b,2204070030000778 | Streaming job failure
acff1f6a-ae99-a568-e8faaf03cf49,"""Couldn't find all part files of the checkpoint version"" errors when querying the table"
6c7ae6b2-e68d-9bb0-283408fcb47c,Security Finding/Vulnerability - certificate
363b72db-3099-c07f-3edcad03b25f,Cx cannot modify delta table during job run
b7a6ada9-0882-6711-498d49abdae1,genie-Getting error after turning on storage account firewall in databricks
14ab1e13-f7b2-d581-3af9943a359b,Cannot modify Delta Table
6fd4b3f6-d5aa-9957-8074ad13b38d,2203090050000696 - genie
eda7528d-ae88-1591-7fb29ec79630,Unable to login to dbx support login
3dc04dd5-a383-c138-d2e203a8a424,ARR Customer Altria: Databricks Repos sync issues from Azure Devops
7ce45c22-38e3-1637-7fe1249c633f,cx is facing CLOUD_PROVIDER_LAUNCH_FAILURE(CLOUD_FAILURE)
832d8f06-b2b2-df96-65a1f0f0769d,Issues identifying origin of long running processes 
a6671aa7-abd7-4292-41671466be34,ARR:Cluster usage went down and jobs got delayed and failed on around 04/06/2022 10:02:00 UTC.:SR2204060040007331
8bf202de-dde3-0aa7-6725f70ef165,All Clusters in Dev Environment Suddenly Failing with Bootstrap Timeouts
818e140b-ed3a-3875-09322c6caa29,docker image is not working
1fdb8c2d-3b38-a005-0137ba49cf0e,Jobs are not getting canceled
e758f70a-c0f2-cce2-664b4a44bb46,2204060040007355 | Scenario based
c1ede240-e082-b30e-bb04ddcd5e7e,Genie access
3222ed10-3531-483b-d18376c84ea4,Cannot add column to delta table on DBR 9.1 LTS
3a9804b7-1650-04f0-b91b291bb7ee,Cluster is not starting
44beaecd-6ac1-44c5-89467cdf6b84,2203160050001572-genie acess
826d6c10-1f92-6f8c-8e6108305527,Cluster very very slow
295049f0-68f1-6588-2f0b5ef924f9,Job Clusters do not terminate
06d88805-597c-4e61-a019f95c2bd4,Databricks jobs unresponsive while fetching data from CosmosDB
80f17a58-ab41-14ed-c4cd30262e3a,Facing with an ArrayIndexOutOfBoundsException and NegativeArraySizeException errors
